Entity,Code,Year,Coal (terawatt-hours),Gas (terawatt-hours),Oil (terawatt-hours)
Algeria,DZA,1965,0.8141000000000002,7.430499999999999,15.405251944444432
Algeria,DZA,1966,0.7908400000000001,7.719249999999997,20.272705277777792
Algeria,DZA,1967,0.60476,7.488250000000003,18.942031111111085
Algeria,DZA,1968,0.63965,7.873250000000004,20.16730138888889
Algeria,DZA,1969,0.8141000000000002,10.351687499999999,21.30593000000001
Algeria,DZA,1970,0.9652900000000001,9.730875000000006,24.34768083333339
Algeria,DZA,1971,0.26749,11.049500000000002,27.440050277777722
Algeria,DZA,1972,0.23260000000000003,12.830125000000042,30.1214141666667
Algeria,DZA,1973,0.26749,17.85918749999995,32.900344999999966
Algeria,DZA,1974,0.22097,20.67450000000001,36.54384083333334
Algeria,DZA,1975,0.27912000000000003,28.49000000000001,40.63066750000003
Algeria,DZA,1976,0.54661,33.687500000000036,46.717732499999975
Algeria,DZA,1977,0.70943,35.901250000000005,52.80649361111112
Algeria,DZA,1978,0.36053,57.65375000000003,54.60794472222218
Algeria,DZA,1979,0.83736,81.52375000000005,65.3186172222222
Algeria,DZA,1980,0.7443200000000001,109.43625000000002,66.20242999999996
Algeria,DZA,1981,0.52335,142.25750000000045,71.32307277777775
Algeria,DZA,1982,9.71105,161.41125000000042,75.57341777777775
Algeria,DZA,1983,8.66435,176.7150000000005,84.89242111111115
Algeria,DZA,1984,9.60638,155.25124999999966,94.00200638888893
Algeria,DZA,1985,10.02506,153.80750000000012,96.5538030555556
Algeria,DZA,1986,10.29255,168.4375000000002,98.02125416666665
Algeria,DZA,1987,12.304540000000001,172.28750000000008,99.1005238888889
Algeria,DZA,1988,11.571850000000001,194.13625000000008,99.17259861111108
Algeria,DZA,1989,9.78083,182.68249999999992,103.93666111111115
Algeria,DZA,1990,7.664170000000001,195.09874999999977,111.8116158333333
Algeria,DZA,1991,7.908400000000001,192.69250000000054,110.62778611111108
Algeria,DZA,1992,9.39704,198.94874999999965,111.29265555555563
Algeria,DZA,1993,7.652540000000001,178.54375000000036,110.75487666666665
Algeria,DZA,1994,7.2106,188.16874999999948,106.05089583333333
Algeria,DZA,1995,7.2106,202.2212500000002,103.14228277777775
Algeria,DZA,1996,3.39596,207.70749999999975,98.42207972222224
Algeria,DZA,1997,5.954560000000001,194.04000000000056,97.64341944444443
Algeria,DZA,1998,6.373240000000001,200.68124999999998,100.6587480555556
Algeria,DZA,1999,6.82681,205.10875000000038,98.8983458333333
Algeria,DZA,2000,5.64055,191.01293750000045,103.13247972222229
Algeria,DZA,2001,6.512800000000001,197.3221249999998,106.77533388888888
Algeria,DZA,2002,8.54805,194.83887499999958,118.39722972222246
Algeria,DZA,2003,7.04778,205.93168750000018,123.17411805555588
